trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",30,0,-200.12947391923868,"{0: 16, 1: 0, 2: 10, 3: 2, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-104.16152602034181,"{0: 15, 1: 2, 2: 7, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-56.65017785055531,"{0: 14, 1: 2, 2: 2, 3: 2, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",30,0,-149.75055656967794,"{0: 21, 1: 1, 2: 5, 3: 0, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-93.81194812130354,"{0: 18, 1: 2, 2: 2, 3: 2, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-63.450402283066445,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-93.94158251621549,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-9.935248363546835,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",30,0,-50.74050255812191,"{0: 24, 1: 3, 2: 2, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-17.523951334909253,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-66.08441582802239,"{0: 20, 1: 0, 2: 3, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-25.212946259416682,"{0: 15, 1: 3, 2: 1, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",30,0,-96.64263477438742,"{0: 23, 1: 0, 2: 3, 3: 4, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",30,0,-88.15020504176401,"{0: 23, 1: 0, 2: 3, 3: 4, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,0,-65.75986262488401,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",30,0,-98.20525552254017,"{0: 23, 1: 1, 2: 1, 3: 5, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,0,14.452493284114455,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,0,-27.533331896921183,"{0: 23, 1: 0, 2: 0, 3: 2, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,24.985739331534404,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-16.038409516437774,"{0: 18, 1: 0, 2: 0, 3: 2, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",25,0,-65.21423278345523,"{0: 21, 1: 0, 2: 0, 3: 4, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",25,0,-60.48438734935329,"{0: 21, 1: 0, 2: 0, 3: 4, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",25,0,22.243468536983507,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",20,0,-6.670430903183887,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",20,0,5.26467564827374,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",20,0,19.44508611308022,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",20,0,21.648560720804568,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",20,0,-3.635676952733111,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",30,0,-4.749061776142385,"{0: 29, 1: 0, 2: 0, 3: 1, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",25,0,-40.71889305599063,"{0: 22, 1: 0, 2: 0, 3: 3, 4: 0}",0
