trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.6, 'e': 0.2254033307585166}",20,0,-111.90057955544862,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
2,False,"{'a': 0.6, 'e': -0.5491933384829668}",20,11,-51.48725246033579,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 1}",1
3,False,"{'a': 0.6, 'e': -1.3237900077244502}",35,0,0.8351236680129348,"{0: 32, 1: 0, 2: 2, 3: 1, 4: 0}",0
4,False,"{'a': 0.6, 'e': -2.0983866769659336}",20,0,-0.09661585667448302,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
5,False,"{'a': 0.6, 'e': -2.872983346207417}",20,10,17.908393894557577,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,False,"{'a': 0.6, 'e': -3.6475800154489004}",25,0,31.52893820007066,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
7,False,"{'a': 0.6, 'e': -4.422176684690384}",20,0,-2.284776098675637,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
8,False,"{'a': 0.6, 'e': -5.196773353931867}",25,0,20.058502477758203,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
9,False,"{'a': 0.6, 'e': -5.971370023173351}",25,0,10.649815210673486,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
10,False,"{'a': 0.6, 'e': -6.745966692414834}",20,0,2.6354108193913355,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
11,False,"{'a': 0.6, 'e': -7.5205633616563174}",20,0,29.704179515895188,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
12,False,"{'a': 0.6, 'e': -8.2951600308978}",30,0,42.16648413380959,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
13,False,"{'a': 0.6, 'e': -9.069756700139283}",20,0,29.526268886150703,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
14,False,"{'a': 0.6, 'e': -9.844353369380766}",25,0,26.841145507015906,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
15,False,"{'a': 0.6, 'e': -10.618950038622248}",20,0,22.85322235238172,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
16,False,"{'a': 0.6, 'e': -11.393546707863731}",20,9,20.7562079457606,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.6, 'e': -12.168143377105213}",30,3,44.01957244722852,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.6, 'e': -12.942740046346696}",25,13,-3.5416710919170136,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
19,False,"{'a': 0.6, 'e': -13.717336715588178}",20,6,2.5813633369086117,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
20,False,"{'a': 0.6, 'e': -14.491933384829661}",30,3,17.528334472603838,"{0: 26, 1: 0, 2: 0, 3: 1, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",30,12,30.97942877443263,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,12,14.19743713602442,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",25,0,40.193149307067934,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",20,2,9.303392669159457,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,6,25.75681636801199,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,9,20.115306954563874,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",25,2,34.99373303224807,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",25,14,18.685557724748776,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,0,31.53721951100139,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",25,0,14.341944650939382,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
11,True,"{'a': 0, 'e': 0}",20,6,27.027269131552067,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,True,"{'a': 0, 'e': 0}",20,15,11.583131964399913,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,True,"{'a': 0, 'e': 0}",30,13,7.927133714227434,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 0}",1
14,True,"{'a': 0, 'e': 0}",20,14,12.18314567374813,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,True,"{'a': 0, 'e': 0}",20,16,8.55795274773344,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,True,"{'a': 0, 'e': 0}",20,12,14.494909820754303,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,True,"{'a': 0, 'e': 0}",30,9,36.46229257493685,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,True,"{'a': 0, 'e': 0}",20,16,7.3365792149748605,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,True,"{'a': 0, 'e': 0}",25,0,43.06152588229813,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
20,True,"{'a': 0, 'e': 0}",30,17,26.30623506969933,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
