trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-248.00646105659644,"{0: 13, 1: 0, 2: 6, 3: 2, 4: 4}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-80.242326955133,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-146.40794526782128,"{0: 9, 1: 3, 2: 4, 3: 3, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-153.38710129682556,"{0: 11, 1: 2, 2: 2, 3: 3, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-161.87121688574348,"{0: 13, 1: 4, 2: 4, 3: 2, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-167.8328391807539,"{0: 9, 1: 1, 2: 7, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-144.90438172377947,"{0: 12, 1: 1, 2: 3, 3: 2, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",35,0,-238.16758993219833,"{0: 18, 1: 3, 2: 10, 3: 1, 4: 3}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-68.6905271155853,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-70.11426353253576,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-107.597882944899,"{0: 13, 1: 2, 2: 1, 3: 3, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-94.63778004770315,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",30,0,-56.126804562958235,"{0: 23, 1: 2, 2: 3, 3: 2, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,3,-33.96125961345537,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 1}",1
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-48.192032339955,"{0: 16, 1: 5, 2: 4, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-28.469706219778914,"{0: 19, 1: 3, 2: 2, 3: 1, 4: 0}",0
17,False,"{'a': 0.5, 'e': 1.0}",35,0,-203.03935301827295,"{0: 18, 1: 3, 2: 11, 3: 1, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,9,-78.77281999328954,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 2}",1
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-170.32222551564553,"{0: 9, 1: 2, 2: 5, 3: 2, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-48.881482493043265,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-48.92774482270302,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
2,True,"{'a': 0.5, 'e': 1.0}",30,0,-53.693710082313544,"{0: 20, 1: 4, 2: 6, 3: 0, 4: 0}",0
3,True,"{'a': 0.5, 'e': 1.0}",30,0,-267.6499202496804,"{0: 17, 1: 1, 2: 6, 3: 1, 4: 5}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-127.27361728142081,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
5,True,"{'a': 0.5, 'e': 1.0}",30,0,-111.54278547814533,"{0: 20, 1: 2, 2: 5, 3: 2, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-201.30835722360123,"{0: 11, 1: 5, 2: 5, 3: 1, 4: 3}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-122.79051784584898,"{0: 18, 1: 3, 2: 1, 3: 0, 4: 3}",0
8,True,"{'a': 0.5, 'e': 1.0}",35,0,-213.2183194574647,"{0: 21, 1: 2, 2: 8, 3: 1, 4: 3}",0
9,True,"{'a': 0.5, 'e': 1.0}",30,0,-179.84184724476955,"{0: 19, 1: 1, 2: 6, 3: 1, 4: 3}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-85.1149643921717,"{0: 14, 1: 4, 2: 6, 3: 1, 4: 0}",0
